customer_id,age,gender,city_tier,loyalty_years,preferred_category,churned
CUST00001,56,F,1,4.54,Toys,0
CUST00002,43,M,1,0.12,Beauty,0
CUST00003,40,F,2,0.68,Clothing,1
CUST00004,56,F,1,3.13,Automotive,0
CUST00005,57,M,1,3.34,Food & Beverage,0
CUST00006,36,M,1,7.07,Groceries,1
CUST00007,54,F,3,3.59,Sports,0
CUST00008,38,F,3,7.0,Groceries,0
CUST00009,51,M,3,0.44,Home & Garden,0
CUST00010,68,M,2,1.34,Groceries,0
CUST00011,40,F,3,0.17,Toys,1
CUST00012,60,M,3,0.2,Electronics,1
CUST00013,59,F,1,0.62,Home & Garden,0
CUST00014,66,M,2,4.26,Groceries,1
CUST00015,58,M,3,0.46,Toys,1
CUST00016,36,F,2,0.6,Books,0
CUST00017,56,M,2,10.46,Electronics,0
CUST00018,36,F,3,3.61,Home & Garden,0
CUST00019,40,F,2,3.0,Toys,0
CUST00020,40,M,2,0.69,Automotive,0
CUST00021,74,M,1,1.03,Automotive,0
CUST00022,66,F,2,1.38,Clothing,1
CUST00023,50,F,1,2.11,Toys,0
CUST00024,44,F,3,2.82,Clothing,0
CUST00025,67,M,3,3.23,Groceries,1
CUST00026,42,F,3,1.18,Books,1
CUST00027,37,F,3,4.85,Groceries,0
CUST00028,45,F,2,7.01,Toys,0
CUST00029,65,M,2,1.73,Electronics,1
CUST00030,40,M,1,0.56,Beauty,1
CUST00031,64,M,2,1.36,Food & Beverage,0
CUST00032,57,M,1,2.92,Electronics,0
CUST00033,48,F,1,6.76,Books,0
CUST00034,30,M,1,2.88,Beauty,0
CUST00035,26,F,2,0.26,Toys,1
CUST00036,53,F,2,1.95,Groceries,1
CUST00037,50,F,3,1.69,Electronics,0
CUST00038,23,F,2,3.27,Electronics,1
CUST00039,64,M,2,2.76,Clothing,1
CUST00040,41,M,3,0.53,Food & Beverage,1
CUST00041,34,M,1,7.45,Electronics,0
CUST00042,36,F,3,1.78,Electronics,0
CUST00043,35,F,1,0.02,Beauty,1
CUST00044,71,F,2,0.19,Clothing,1
CUST00045,20,F,2,0.55,Books,1
CUST00046,61,F,3,1.34,Beauty,1
CUST00047,64,F,3,5.98,Toys,0
CUST00048,28,F,1,2.99,Books,0
CUST00049,51,F,2,0.2,Clothing,0
CUST00050,37,F,2,0.64,Automotive,1
CUST00051,64,M,2,2.44,Beauty,1
CUST00052,61,F,3,2.0,Electronics,0
CUST00053,55,F,3,0.28,Clothing,0
CUST00054,38,F,3,4.24,Home & Garden,0
CUST00055,27,M,2,1.14,Electronics,1
CUST00056,48,F,3,5.22,Home & Garden,0
CUST00057,25,F,1,0.16,Groceries,0
CUST00058,30,M,3,2.07,Electronics,1
CUST00059,33,M,1,1.32,Home & Garden,0
CUST00060,35,F,2,3.73,Groceries,0
CUST00061,58,F,2,3.76,Automotive,1
CUST00062,23,F,2,1.19,Food & Beverage,0
CUST00063,72,M,2,10.79,Books,0
CUST00064,62,M,3,2.21,Automotive,0
CUST00065,30,M,2,0.91,Beauty,0
CUST00066,24,F,3,1.07,Automotive,0
CUST00067,38,F,2,0.74,Books,1
CUST00068,35,M,1,1.08,Toys,0
CUST00069,40,F,1,14.52,Toys,0
CUST00070,70,F,2,1.91,Sports,0
CUST00071,35,M,2,0.09,Clothing,0
CUST00072,72,M,2,8.52,Beauty,1
CUST00073,55,M,3,0.42,Groceries,0
CUST00074,53,F,3,1.89,Books,0
CUST00075,39,F,3,1.86,Books,0
CUST00076,47,F,2,7.75,Automotive,0
CUST00077,67,M,3,4.73,Clothing,1
CUST00078,53,F,2,2.01,Clothing,1
CUST00079,37,F,1,1.05,Clothing,0
CUST00080,22,M,3,22.09,Clothing,0
CUST00081,19,F,1,7.94,Automotive,0
CUST00082,34,F,3,2.66,Food & Beverage,0
CUST00083,68,M,3,3.11,Food & Beverage,0
CUST00084,69,F,1,1.33,Groceries,1
CUST00085,59,F,3,1.97,Sports,0
CUST00086,32,M,1,1.6,Home & Garden,0
CUST00087,48,M,2,0.72,Electronics,0
CUST00088,29,F,2,1.05,Clothing,1
CUST00089,42,F,3,2.42,Books,0
CUST00090,50,F,2,11.17,Automotive,1
CUST00091,53,F,2,8.08,Electronics,1
CUST00092,66,M,3,1.13,Toys,0
CUST00093,55,F,1,1.18,Toys,1
CUST00094,19,M,3,3.1,Sports,0
CUST00095,74,M,2,2.62,Groceries,1
CUST00096,62,F,1,1.52,Beauty,0
CUST00097,57,M,2,0.47,Food & Beverage,0
CUST00098,28,M,2,9.05,Sports,1
CUST00099,50,M,2,0.96,Sports,0
CUST00100,38,F,1,0.33,Clothing,0
CUST00101,48,F,2,6.74,Automotive,0
CUST00102,65,F,2,0.76,Automotive,0
CUST00103,70,F,2,3.63,Clothing,1
CUST00104,62,M,1,2.7,Clothing,0
CUST00105,44,F,2,0.53,Clothing,1
CUST00106,34,F,1,0.73,Sports,1
CUST00107,48,M,2,1.9,Beauty,1
CUST00108,37,F,3,1.15,Books,0
CUST00109,53,M,2,3.18,Clothing,0
CUST00110,40,M,1,0.26,Groceries,0
CUST00111,28,F,2,0.04,Books,1
CUST00112,38,M,3,1.03,Home & Garden,1
CUST00113,59,M,2,3.48,Toys,1
CUST00114,25,M,3,1.03,Toys,1
CUST00115,39,M,2,2.73,Automotive,0
CUST00116,51,M,3,5.59,Automotive,0
CUST00117,43,F,1,8.33,Home & Garden,1
CUST00118,62,M,2,10.18,Toys,0
CUST00119,61,M,2,2.04,Sports,0
CUST00120,44,F,2,3.09,Toys,1
CUST00121,71,F,2,2.88,Groceries,0
CUST00122,69,M,1,3.31,Electronics,1
CUST00123,52,F,1,2.43,Automotive,0
CUST00124,64,F,2,1.87,Toys,0
CUST00125,18,F,3,2.18,Automotive,1
CUST00126,66,F,3,0.43,Home & Garden,0
CUST00127,40,M,2,4.18,Sports,0
CUST00128,49,M,3,1.31,Books,0
CUST00129,43,F,3,1.06,Automotive,0
CUST00130,23,M,1,1.13,Groceries,0
CUST00131,57,F,2,0.33,Sports,0
CUST00132,71,F,2,0.03,Books,0
CUST00133,65,M,1,2.77,Toys,1
CUST00134,42,F,3,7.21,Automotive,1
CUST00135,61,M,3,2.38,Groceries,0
CUST00136,29,F,1,4.32,Sports,0
CUST00137,25,M,2,1.99,Beauty,0
CUST00138,47,M,2,0.48,Groceries,0
CUST00139,53,F,3,8.2,Sports,0
CUST00140,51,M,2,0.16,Books,1
CUST00141,34,F,2,6.27,Books,0
CUST00142,60,F,1,0.81,Electronics,0
CUST00143,51,F,3,10.62,Beauty,0
CUST00144,67,M,3,7.01,Groceries,0
CUST00145,32,M,2,7.31,Sports,0
CUST00146,26,M,3,1.73,Food & Beverage,0
CUST00147,52,M,2,2.59,Sports,0
CUST00148,31,F,2,6.41,Home & Garden,0
CUST00149,31,F,3,2.45,Toys,1
CUST00150,66,F,3,0.06,Home & Garden,1
CUST00151,43,M,3,0.64,Home & Garden,1
CUST00152,56,F,2,7.36,Electronics,1
