customer_id,recency,frequency,monetary,avg_order_value,total_items,discount_rate,unique_categories,R_score,F_score,M_score,RFM_score,segment
CUST00001,182,21,2129.04,101.38285714285715,121,0.23809523809523808,9,2,3,3,8,Potential Loyalists
CUST00002,45,1,89.98,89.98,4,1.0,1,4,1,1,6,Recent Customers
CUST00003,248,2,132.82999999999998,66.41499999999999,16,0.5,2,1,1,1,3,Lost Customers
CUST00004,115,31,2721.75,87.79838709677419,144,0.1935483870967742,9,2,4,4,10,At Risk
CUST00005,149,32,2841.58,88.799375,120,0.15625,10,2,4,4,10,At Risk
CUST00006,148,20,1114.02,55.701,107,0.2,7,2,3,3,8,Potential Loyalists
CUST00007,73,14,2234.7,159.62142857142857,48,0.42857142857142855,8,3,3,3,9,Loyal Customers
CUST00008,87,100,4915.87,49.158699999999996,517,0.25,10,3,5,4,12,Loyal Customers
CUST00009,60,4,530.72,132.68,25,0.0,3,4,2,2,8,Recent Customers
CUST00010,153,5,383.44,76.688,29,0.8,4,2,2,2,6,Lost Customers
CUST00011,60,1,5.81,5.81,2,1.0,1,4,1,1,6,Recent Customers
CUST00012,73,1,29.36,29.36,2,0.0,1,3,1,1,5,Potential Loyalists
CUST00013,48,12,1597.23,133.1025,55,0.5833333333333334,6,4,3,3,10,Loyal Customers
CUST00014,355,40,2322.87,58.071749999999994,197,0.3,10,1,4,3,8,At Risk
CUST00015,167,11,1867.94,169.81272727272727,53,0.2727272727272727,6,2,3,3,8,Potential Loyalists
CUST00016,83,12,2477.73,206.4775,51,0.16666666666666666,5,3,3,4,10,Loyal Customers
CUST00017,8,200,48378.94,241.8947,1048,0.255,10,5,5,5,15,Champions
CUST00018,28,97,9091.289999999999,93.72463917525772,478,0.26804123711340205,10,5,5,5,15,Champions
CUST00019,96,55,6194.54,112.628,276,0.2727272727272727,10,3,4,5,12,Loyal Customers
CUST00020,59,3,348.68,116.22666666666667,11,0.0,2,4,1,2,7,Recent Customers
CUST00021,79,10,894.1,89.41,50,0.2,3,3,2,2,7,Potential Loyalists
CUST00022,183,9,1188.01,132.0011111111111,30,0.4444444444444444,6,2,2,3,7,Lost Customers
CUST00023,92,19,1450.73,76.3542105263158,81,0.21052631578947367,8,3,3,3,9,Loyal Customers
CUST00024,61,66,6836.92,103.58969696969697,331,0.2878787878787879,8,4,5,5,14,Champions
CUST00025,367,6,459.29,76.54833333333333,17,0.6666666666666666,4,1,2,2,5,Lost Customers
CUST00026,316,1,82.31,82.31,6,0.0,1,1,1,1,3,Lost Customers
CUST00027,90,43,2203.83,51.25186046511628,210,0.23255813953488372,10,3,4,3,10,Loyal Customers
CUST00028,88,61,6806.18,111.57672131147541,306,0.26229508196721313,10,3,5,5,13,Loyal Customers
CUST00029,160,18,3598.97,199.94277777777776,93,0.4444444444444444,7,2,3,4,9,Potential Loyalists
CUST00030,183,6,312.74,52.123333333333335,33,0.3333333333333333,4,2,2,2,6,Lost Customers
CUST00031,3,28,2866.54,102.37642857142858,147,0.25,10,5,4,4,13,Champions
CUST00032,74,50,15235.04,304.7008,268,0.18,9,3,4,5,12,Loyal Customers
CUST00033,34,23,1727.0,75.08695652173913,122,0.13043478260869565,9,5,3,3,11,Loyal Customers
CUST00034,83,52,5146.75,98.97596153846153,248,0.3076923076923077,10,3,4,4,11,Loyal Customers
CUST00035,92,2,302.81,151.405,6,0.0,2,3,1,1,5,Potential Loyalists
CUST00036,145,16,774.46,48.40375,84,0.375,6,2,3,2,7,Potential Loyalists
CUST00037,78,21,5001.25,238.1547619047619,81,0.23809523809523808,7,3,3,4,10,Loyal Customers
CUST00038,223,9,3270.36,363.37333333333333,29,0.1111111111111111,5,1,2,4,7,Lost Customers
CUST00039,315,4,345.1,86.275,12,0.25,4,1,2,2,5,Lost Customers
