invoice_id,customer_id,invoice_date,due_date,subtotal,tax_amount,discount,total_amount,status,sales_rep,region,year,month,quarter,is_overdue,company_name,segment,country,city
INV00001,C0331,2022-01-20,2022-02-19,1110845.63,88867.65,80491.8,1119221.48,Paid,REP05,East,2022,1,1,0,Company_331,Startup,UK,New York
INV00002,C0276,2022-10-18,2022-11-17,806972.92,64557.83,66506.1,805024.65,Paid,REP04,West,2022,10,4,0,Company_276,Startup,Germany,Paris
INV00003,C0841,2022-03-18,2022-04-17,127598.64,10207.89,8530.45,129276.08,Paid,REP21,South,2022,3,1,0,Company_841,Non-profit,USA,Los Angeles
INV00004,C0778,2024-09-08,2024-10-08,1335439.02,106835.12,48665.81,1393608.33,Overdue,REP20,East,2024,9,3,1,Company_778,Non-profit,Canada,New York
INV00005,C0637,2023-08-19,2023-09-18,861934.98,68954.8,25719.68,905170.1,Paid,REP06,North,2023,8,3,0,Company_637,Enterprise,UK,Dallas
INV00006,C0246,2024-07-28,2024-08-27,402171.88,32173.75,56393.87,377951.76,Pending,REP02,North,2024,7,3,1,Company_246,Startup,UK,Chicago
INV00007,C0343,2024-12-14,2025-01-13,224512.43,17960.99,23767.75,218705.67,Pending,REP01,East,2024,12,4,1,Company_343,Startup,USA,Dallas
INV00008,C0569,2024-03-05,2024-04-04,300935.83,24074.87,30510.05,294500.65,Paid,REP09,South,2024,3,1,0,Company_569,Government,Canada,Paris
INV00009,C0041,2024-07-10,2024-08-09,244697.15,19575.77,2690.66,261582.26,Overdue,REP17,West,2024,7,3,1,Company_41,Government,USA,Houston
INV00010,C0705,2024-12-10,2025-01-09,442244.0,35379.52,5061.65,472561.87,Pending,REP04,North,2024,12,4,1,Company_705,Enterprise,UK,Dallas
INV00011,C0664,2022-05-28,2022-06-27,1555352.11,124428.17,183144.31,1496635.97,Pending,REP17,North,2022,5,2,1,Company_664,Startup,USA,Dallas
INV00012,C0443,2024-04-16,2024-05-16,678107.19,54248.58,68871.32,663484.45,Pending,REP24,East,2024,4,2,1,Company_443,Startup,USA,Paris
INV00013,C0072,2022-03-15,2022-04-14,603467.95,48277.44,5275.09,646470.3,Overdue,REP01,North,2022,3,1,1,Company_72,Non-profit,Canada,Philadelphia
INV00014,C0346,2023-12-20,2024-01-19,261866.97,20949.36,14012.1,268804.23,Paid,REP18,North,2023,12,4,0,Company_346,SMB,USA,Dallas
INV00015,C0582,2022-07-23,2022-08-22,922258.54,73780.68,26461.08,969578.14,Paid,REP24,West,2022,7,3,0,Company_582,Non-profit,USA,Phoenix
INV00016,C0836,2023-01-28,2023-02-27,1279386.07,102350.89,974.66,1380762.3,Overdue,REP13,North,2023,1,1,1,Company_836,Government,USA,Phoenix
INV00017,C0799,2024-06-23,2024-07-23,239557.4,19164.59,23559.13,235162.86,Paid,REP21,South,2024,6,2,0,Company_799,Startup,USA,Los Angeles
INV00018,C0192,2023-08-14,2023-09-13,1151518.43,92121.47,141265.52,1102374.38,Paid,REP21,East,2023,8,3,0,Company_192,Non-profit,Canada,Paris
