line_id,invoice_id,product_id,quantity,unit_price,line_total,discount_pct
L000001,INV00001,P0270,34,9329.46,317201.64,0
L000002,INV00001,P0031,40,4819.9,192796.0,0
L000003,INV00001,P0128,18,11789.05,212202.9,0
L000004,INV00001,P0447,19,4233.36,80433.84,15
L000005,INV00001,P0136,31,8101.85,251157.35,10
L000006,INV00001,P0236,22,267.8,5891.6,0
L000007,INV00001,P0401,14,3654.45,51162.3,15
L000008,INV00002,P0175,46,9106.75,418910.5,0
L000009,INV00002,P0136,4,8101.85,32407.4,15
L000010,INV00002,P0424,38,3412.11,129660.18,0
L000011,INV00002,P0428,48,2526.93,121292.64,0
L000012,INV00002,P0213,20,5235.11,104702.2,15
L000013,INV00003,P0102,42,677.53,28456.26,0
L000014,INV00003,P0476,19,5218.02,99142.38,0
L000015,INV00004,P0058,9,3583.99,32255.91,15
L000016,INV00004,P0381,48,8147.47,391078.56,0
L000017,INV00004,P0352,33,11327.53,373808.49,10
L000018,INV00004,P0158,13,3027.18,39353.34,10
L000019,INV00004,P0303,48,10394.64,498942.72,10
L000020,INV00005,P0464,49,5391.95,264205.55,10
L000021,INV00005,P0491,49,4887.27,239476.23,5
L000022,INV00005,P0289,30,3456.69,103700.7,20
L000023,INV00005,P0015,18,2756.52,49617.36,0
L000024,INV00005,P0279,14,6826.46,95570.44,15
L000025,INV00005,P0301,15,7290.98,109364.7,0
L000026,INV00006,P0157,31,4194.92,130042.52,0
L000027,INV00006,P0052,24,9999.18,239980.32,0
L000028,INV00006,P0066,22,1461.32,32149.04,5
L000029,INV00007,P0345,8,1734.41,13875.28,0
L000030,INV00007,P0176,45,2045.55,92049.75,15
L000031,INV00007,P0271,1,5987.8,5987.8,0
L000032,INV00007,P0102,14,677.53,9485.42,15
L000033,INV00007,P0495,41,2514.98,103114.18,0
L000034,INV00008,P0113,5,8542.41,42712.05,10
L000035,INV00008,P0057,29,7128.97,206740.13,0
L000036,INV00008,P0111,37,1391.45,51483.65,0
L000037,INV00009,P0023,23,6905.11,158817.53,0
L000038,INV00009,P0400,9,9542.18,85879.62,15
L000039,INV00010,P0141,40,11056.1,442244.0,0
L000040,INV00011,P0489,45,13778.52,620033.4,0
L000041,INV00011,P0140,18,9074.03,163332.54,20
L000042,INV00011,P0496,37,10086.17,373188.29,15
L000043,INV00011,P0025,12,4154.93,49859.16,5
L000044,INV00011,P0011,9,6187.33,55685.97,0
L000045,INV00011,P0190,25,11730.11,293252.75,5
L000046,INV00012,P0105,35,10998.77,384956.95,0
L000047,INV00012,P0009,30,1722.41,51672.3,0
L000048,INV00012,P0289,2,3456.69,6913.38,0
L000049,INV00012,P0257,26,3516.61,91431.86,15
L000050,INV00012,P0400,15,9542.18,143132.7,5
L000051,INV00013,P0215,49,6041.67,296041.83,0
L000052,INV00013,P0023,4,6905.11,27620.44,20
L000053,INV00013,P0373,42,6662.04,279805.68,10
L000054,INV00014,P0194,19,10984.48,208705.12,0
L000055,INV00014,P0088,11,364.07,4004.77,5
L000056,INV00014,P0015,10,2756.52,27565.2,0
L000057,INV00014,P0444,9,2351.52,21163.68,15
L000058,INV00014,P0028,1,428.2,428.2,0
L000059,INV00015,P0462,44,7553.97,332374.68,20
L000060,INV00015,P0054,20,6447.25,128945.0,0
L000061,INV00015,P0135,41,1628.38,66763.58,0
L000062,INV00015,P0496,39,10086.17,393360.63,10
L000063,INV00015,P0037,3,271.55,814.65,0
L000064,INV00016,P0362,28,5656.4,158379.2,0
L000065,INV00016,P0109,40,3625.98,145039.2,5
L000066,INV00016,P0408,26,10989.39,285724.14,0
L000067,INV00016,P0016,22,8137.91,179034.02,0
L000068,INV00016,P0062,43,396.95,17068.85,10
L000069,INV00016,P0242,26,6382.64,165948.64,5
L000070,INV00016,P0030,39,8415.18,328192.02,10
L000071,INV00017,P0186,3,9076.32,27228.96,5
L000072,INV00017,P0277,31,1443.06,44734.86,0
L000073,INV00017,P0480,35,2249.08,78717.8,5
L000074,INV00017,P0096,6,7406.44,44438.64,5
L000075,INV00017,P0469,33,1346.58,44437.14,0
L000076,INV00018,P0147,43,11763.36,505824.48,0
L000077,INV00018,P0390,9,7391.16,66520.44,5
L000078,INV00018,P0354,38,8290.57,315041.66,0
