year,month,total_revenue,invoice_count,avg_invoice
2022,1,54707267.89,98,558237.4274489796
2022,2,41100104.62,84,489286.9597619047
2022,3,55901385.84,102,548052.8023529412
2022,4,47441738.25,97,489090.0850515464
2022,5,46528367.24,92,505743.12217391306
2022,6,56118465.98,104,539600.6344230769
2022,7,50825218.76,94,540693.8165957447
2022,8,38637019.0,82,471183.15853658534
2022,9,58202675.62,110,529115.2329090909
2022,10,48449665.75,92,526626.8016304348
2022,11,46269179.09,93,497518.0547311828
2022,12,56591601.62,102,554819.6237254902
2023,1,50452798.82,104,485123.0655769231
2023,2,44752087.54,86,520373.11093023256
2023,3,62940917.64,115,547312.3273043479
2023,4,52409307.52,100,524093.0752
2023,5,66356773.0,111,597808.7657657658
2023,6,39384119.07,84,468858.5603571429
2023,7,56367431.24,102,552621.8749019608
2023,8,46013047.77,96,479302.58093750005
2023,9,58922506.98,112,526093.8123214286
2023,10,50414393.78,102,494258.7625490196
2023,11,50108950.11,96,521968.2303125
2023,12,53066544.91,112,473808.4366964285
2024,1,39102263.95,80,488778.29937500006
2024,2,49792819.39,94,529710.8445744681
2024,3,56433501.230000004,96,587848.9711458334
2024,4,55338590.9,97,570500.9371134021
2024,5,60352805.65,115,524807.0056521739
2024,6,47685161.88,89,535788.3357303371
2024,7,51363393.24,101,508548.4479207921
2024,8,48863005.74,89,549022.5364044944
2024,9,44604629.84,87,512696.8947126437
2024,10,52401785.22,94,557465.8002127659
2024,11,43997538.14,83,530090.8209638555
2024,12,46294605.05,92,503202.2288043478
