date,year,month,quarter,region,category,quantity,unit_price,unit_cost,revenue,profit,profit_margin,customer_id,store_id
2024-05-10,2024,5,Q2,West,Clothing,5,52.6,20.87,263.0,158.65,60.3,C04427,S075
2022-03-29,2022,3,Q1,North,Clothing,3,46.44,29.77,125.39,45.01,35.9,C06950,S002
2024-08-13,2024,8,Q3,South,Clothing,6,45.82,16.35,274.92,176.82,64.3,C08667,S059
2023-05-26,2023,5,Q2,South,Electronics,14,267.2,143.09,3740.8,1737.54,46.4,C01900,S055
2024-04-11,2024,4,Q2,West,Groceries,7,36.87,13.62,245.19,154.61,63.1,C08793,S060
2022-01-14,2022,1,Q1,South,Beauty,5,47.39,20.01,189.56,109.52,57.8,C07100,S071
2023-05-24,2023,5,Q2,North,Beauty,1,48.46,26.59,48.46,21.87,45.1,C03074,S006
2023-07-20,2023,7,Q3,North,Groceries,2,55.92,35.33,114.08,42.0,36.8,C00996,S014
2024-03-26,2024,3,Q1,East,Clothing,12,47.56,21.29,513.65,283.72,55.2,C06864,S082
2024-05-28,2024,5,Q2,South,Beauty,12,61.87,26.78,742.44,421.08,56.7,C05277,S015
2022-03-06,2022,3,Q1,South,Electronics,1,293.69,103.28,264.32,171.37,64.8,C05259,S081
2023-01-27,2023,1,Q1,West,Sports,5,114.61,62.5,458.44,208.44,45.5,C03100,S007
2022-07-20,2022,7,Q3,South,Home & Garden,7,110.12,49.28,786.26,434.4,55.2,C02732,S086
2024-08-18,2024,8,Q3,International,Groceries,3,55.46,28.75,166.38,80.13,48.2,C06911,S014
2024-05-20,2024,5,Q2,West,Electronics,10,251.23,96.06,2512.3,1551.7,61.8,C00864,S052
2024-10-17,2024,10,Q4,International,Groceries,7,50.54,25.87,371.47,181.32,48.8,C04637,S036
2023-06-09,2023,6,Q2,South,Electronics,6,460.71,247.54,2902.47,1342.97,46.3,C09790,S057
2024-10-09,2024,10,Q4,West,Toys,12,39.66,24.39,499.72,192.4,38.5,C01664,S092
2022-07-09,2022,7,Q3,North,Electronics,14,245.13,111.72,3500.46,1905.09,54.4,C09475,S070
2023-10-11,2023,10,Q4,West,Groceries,10,42.13,26.66,442.37,162.44,36.7,C01496,S052
2023-03-18,2023,3,Q1,South,Automotive,2,239.72,94.55,431.5,261.31,60.6,C00699,S002
2023-10-04,2023,10,Q4,North,Groceries,1,51.48,28.53,54.05,24.1,44.6,C05173,S044
2023-12-31,2023,12,Q4,North,Automotive,4,151.32,69.74,907.92,489.48,53.9,C08959,S038
2022-10-07,2022,10,Q4,International,Groceries,6,48.38,18.24,304.79,189.88,62.3,C08801,S073
2022-07-06,2022,7,Q3,North,Clothing,4,60.33,25.1,246.15,143.74,58.4,C09562,S067
2022-05-27,2022,5,Q2,North,Groceries,9,53.26,24.82,479.34,255.96,53.4,C02386,S001
2023-04-18,2023,4,Q2,East,Clothing,10,57.24,31.37,543.78,245.76,45.2,C08816,S060
2024-05-30,2024,5,Q2,North,Clothing,12,70.9,43.59,850.8,327.72,38.5,C07159,S009
2024-03-26,2024,3,Q1,West,Beauty,6,68.53,37.19,370.06,169.24,45.7,C01649,S072
2022-04-14,2022,4,Q2,North,Home & Garden,14,162.97,104.64,2167.5,775.79,35.8,C02962,S082
2024-04-01,2024,4,Q2,International,Groceries,4,53.93,22.71,204.93,118.64,57.9,C09493,S048
2023-02-05,2023,2,Q1,East,Clothing,11,62.23,26.73,533.93,304.59,57.0,C06894,S030
2022-02-07,2022,2,Q1,East,Automotive,8,228.36,134.38,1424.97,586.44,41.2,C04894,S097
2022-10-11,2022,10,Q4,West,Home & Garden,12,144.69,62.83,1823.09,1031.44,56.6,C04643,S064
2024-12-08,2024,12,Q4,International,Electronics,14,478.71,298.93,10052.91,3775.38,37.6,C01061,S024
2023-05-12,2023,5,Q2,East,Groceries,12,58.37,25.59,700.44,393.36,56.2,C00981,S032
2022-05-08,2022,5,Q2,South,Groceries,6,53.42,27.83,320.52,153.54,47.9,C03864,S032
2024-05-03,2024,5,Q2,South,Groceries,10,59.14,33.84,591.4,253.0,42.8,C08097,S009
2022-09-03,2022,9,Q3,South,Groceries,7,44.72,19.09,306.78,175.82,57.3,C08717,S060
2024-06-21,2024,6,Q2,West,Groceries,1,33.73,15.82,35.42,18.81,53.1,C09164,S087
2024-04-13,2024,4,Q2,West,Groceries,3,46.17,23.68,131.58,64.1,48.7,C01149,S022
2022-11-10,2022,11,Q4,South,Toys,10,51.03,23.37,663.39,359.58,54.2,C02492,S097
2022-09-21,2022,9,Q3,North,Sports,5,86.71,52.25,424.88,168.85,39.7,C09184,S094
2022-02-16,2022,2,Q1,North,Sports,13,117.19,66.14,1188.31,517.65,43.6,C09875,S017
2022-04-30,2022,4,Q2,South,Clothing,7,56.91,23.07,378.45,225.04,59.5,C05950,S023
2024-10-09,2024,10,Q4,International,Electronics,2,303.75,114.87,637.88,396.65,62.2,C03673,S001
2023-12-05,2023,12,Q4,East,Groceries,7,33.0,17.15,346.5,166.43,48.0,C03507,S086
2023-11-28,2023,11,Q4,North,Groceries,1,41.31,26.6,53.7,19.12,35.6,C06618,S048
2022-12-07,2022,12,Q4,North,Groceries,14,51.97,18.94,1091.37,693.63,63.6,C02850,S052
2024-02-01,2024,2,Q1,East,Automotive,8,232.22,92.63,1449.05,871.04,60.1,C02840,S080
2022-09-15,2022,9,Q3,East,Electronics,11,441.23,244.07,4756.46,2125.38,44.7,C02428,S033
2024-08-14,2024,8,Q3,International,Groceries,3,57.34,31.28,172.02,78.18,45.4,C01067,S044
2022-10-12,2022,10,Q4,North,Electronics,2,254.55,136.31,534.56,248.3,46.5,C08968,S093
2024-08-27,2024,8,Q3,West,Electronics,9,366.53,204.48,3298.77,1458.45,44.2,C05746,S075
2023-02-17,2023,2,Q1,South,Electronics,13,314.1,126.66,3184.97,1900.64,59.7,C02505,S024
2022-07-11,2022,7,Q3,West,Home & Garden,4,115.25,67.18,470.22,196.13,41.7,C09880,S023
2022-02-06,2022,2,Q1,West,Clothing,7,79.83,30.41,435.87,269.83,61.9,C08788,S089
2023-02-01,2023,2,Q1,South,Toys,12,54.84,33.13,513.3,203.21,39.6,C04361,S071
2023-12-19,2023,12,Q4,East,Home & Garden,10,137.07,66.42,2056.05,1059.75,51.5,C07267,S012
2024-11-14,2024,11,Q4,North,Groceries,5,56.43,33.12,366.79,151.52,41.3,C02157,S053
2024-12-01,2024,12,Q4,International,Automotive,10,201.81,124.38,3027.15,1161.45,38.4,C04331,S075
2023-10-20,2023,10,Q4,West,Automotive,10,226.55,86.17,2378.78,1473.99,62.0,C01543,S046
2022-06-19,2022,6,Q2,International,Groceries,2,34.06,12.79,71.53,44.67,62.4,C09581,S065
2023-05-15,2023,5,Q2,International,Clothing,13,79.78,36.93,1037.14,557.05,53.7,C03487,S019
2023-03-21,2023,3,Q1,West,Groceries,10,60.05,23.02,540.45,333.27,61.7,C04269,S013
2024-01-24,2024,1,Q1,North,Groceries,12,55.67,33.23,534.43,215.42,40.3,C03073,S003
2022-12-14,2022,12,Q4,South,Automotive,1,151.6,77.09,227.4,111.76,49.1,C00134,S058
2023-11-16,2023,11,Q4,North,Automotive,5,146.08,91.65,949.52,353.8,37.3,C05349,S036
2022-02-16,2022,2,Q1,West,Home & Garden,1,136.71,71.81,106.63,50.62,47.5,C02704,S087
2024-08-28,2024,8,Q3,International,Clothing,8,63.45,24.24,507.6,313.68,61.8,C04469,S008
